dep_amt ,dep_days_greater100e,wth_amt ,wth_days_greatter100e,stake_amt,stake_days_greater500e,paid_bonus,no_bets,abs_ggr_days_greater200e,no_logins,vip
347,2,101,0,9790,3,0,1577,1,53,not VIP
522,3,530,2,572,0,0,15,0,22,not VIP
12,0,0,0,183,0,0,121,0,4,not VIP
112,1,0,0,2116,2,867,1024,1,26,not VIP
221,1,0,0,5393,2,0,207,0,3,not VIP
43,0,0,0,173,0,0,965,0,4,not VIP
42,0,217,1,1166,1,0,71,0,12,not VIP
605,4,284,2,5947,4,0,680,1,73,not VIP
134,0,0,0,1672,1,0,264,0,30,not VIP
51,0,0,0,357,0,0,1476,0,7,not VIP
206,0,0,0,2647,1,90,578,0,28,not VIP
145,1,0,0,145,0,0,1,0,3,not VIP
246,0,262,1,3674,3,0,5500,0,81,not VIP
577,1,301,1,6472,4,0,920,0,115,not VIP
1010,5,0,0,11123,7,0,21660,2,87,not VIP
607,2,87,0,7075,6,0,14222,0,30,not VIP
156,1,0,0,330,0,0,42,0,7,not VIP
191,0,67,0,850,0,0,949,0,43,not VIP
7,0,0,0,9,0,0,24,0,2,not VIP
144,0,115,0,951,1,0,828,0,46,not VIP
1307,6,684,1,13776,5,5,693,3,59,not VIP
157,1,109,1,285,0,0,40,0,23,not VIP
125,0,0,0,862,0,25,360,0,179,not VIP
136,1,0,0,2057,1,0,258,0,29,not VIP
65,0,0,0,84,0,0,17,0,6,not VIP
92,0,21,0,707,0,0,244,0,93,not VIP
93,0,0,0,569,0,0,161,0,25,not VIP
64,0,188,1,598,0,0,405,0,28,not VIP
167,0,0,0,1086,0,0,5746,0,87,not VIP
59,0,20,0,148,0,0,159,0,23,not VIP
98,0,227,1,289,0,0,60,1,15,not VIP
490,2,289,1,3478,2,0,56,0,17,not VIP
290,0,346,1,1103,0,0,116,0,54,not VIP
144,0,0,0,2597,2,0,325,0,37,not VIP
289,1,36,1,7983,3,678,79,3,23,not VIP
214,0,115,0,1410,0,0,892,0,90,not VIP
592,2,0,0,844,1,0,12,1,6,not VIP
155,1,275,1,1046,1,141,124,0,26,not VIP
197,1,0,0,628,1,0,40,0,5,VIP
103,0,0,0,868,0,0,104,0,28,not VIP
21,0,0,0,408,0,0,124,0,80,not VIP
168,0,152,1,522,0,1,490,0,51,not VIP
140,0,0,0,1299,1,0,119,0,5,not VIP
287,0,248,0,5376,5,25,5937,0,83,not VIP
112,0,0,0,652,0,0,2347,0,49,not VIP
60,0,220,1,117,0,0,60,0,8,not VIP
618,1,322,2,15578,6,0,1970,1,106,not VIP
557,2,0,0,1292,1,0,33,1,8,not VIP
27,0,0,0,353,0,0,60,0,2,not VIP
36,0,0,0,100,0,0,33,0,6,not VIP
66,0,36,0,227,0,0,899,0,46,not VIP
62,0,0,0,209,0,0,71,0,43,not VIP
242,1,0,0,1871,2,0,153,0,14,not VIP
26,0,0,0,99,0,0,20,0,13,not VIP
162,0,0,0,692,0,0,1191,0,30,not VIP
6556,10,0,0,106649,10,920,9568,8,211,VIP
153,0,0,0,3086,2,11,1057,0,120,not VIP
562,2,333,1,1357,1,0,8,1,8,not VIP
136,0,343,1,3228,1,304,171,0,36,not VIP
194,1,130,1,836,1,0,2342,0,10,not VIP
90,0,0,0,902,0,30,196,0,30,not VIP
111,0,723,1,6853,2,0,213,1,53,not VIP
40,0,146,1,938,0,109,477,0,35,not VIP
51,0,0,0,1195,1,117,797,0,27,not VIP
310,1,125,1,1272,1,0,232,0,19,not VIP
30,0,58,0,677,0,0,3331,0,9,not VIP
46,0,132,1,198,0,0,639,0,6,not VIP
149,0,588,2,1303,1,1,2859,1,46,not VIP
84,0,107,0,293,0,0,106,0,15,not VIP
82,0,0,0,3447,2,377,405,1,29,not VIP
14,0,0,0,47,0,0,30,0,5,not VIP
132,0,68,0,330,0,0,44,0,38,not VIP
108,0,33,0,525,0,0,235,0,54,not VIP
610,3,500,2,3473,3,0,353,0,63,not VIP
29,0,0,0,29,0,0,10,0,2,not VIP
147,0,679,1,1799,2,0,192,0,46,not VIP
64,0,0,0,2096,2,0,495,0,5,not VIP
113,0,145,1,1056,1,0,661,0,30,not VIP
14,0,29,0,31,0,0,15,0,6,not VIP
199,1,0,0,2096,2,15,148,0,13,not VIP
685,2,0,0,1156,0,0,912,0,64,not VIP
217,1,0,0,804,1,0,16,1,1,not VIP
29,0,27,0,154,0,0,101,0,52,not VIP
308,0,138,1,1664,1,0,353,0,37,not VIP
748,2,0,0,1681,1,0,135,1,60,not VIP
727,3,70,0,1627,2,0,387,0,58,not VIP
629,3,0,0,7349,3,0,430,1,17,not VIP
55,0,0,0,178,0,0,134,0,20,not VIP
44,0,14,0,134,0,0,477,0,5,not VIP
101,1,0,0,207,0,0,162,0,10,not VIP
394,2,2139,3,110905,11,0,29978,9,57,VIP
103,0,0,0,323,0,0,50,0,26,not VIP
885,5,5,1,6702,4,326,242,2,65,VIP
57,0,0,0,133,0,0,144,0,22,not VIP
279,0,0,0,1960,1,0,1632,0,258,not VIP
62,0,13,0,124,0,0,143,0,18,not VIP
109,1,0,0,2144,1,0,64,0,3,not VIP
131,0,20,0,453,0,23,241,0,48,not VIP
116,1,0,0,116,0,0,1,0,4,not VIP
145,1,143,1,339,0,0,84,0,24,not VIP
1045,4,886,2,10417,6,204,1259,3,85,not VIP
109,1,0,0,109,0,0,1,0,2,not VIP
145,1,0,0,428,0,0,243,0,1,not VIP
262,0,33,0,1666,0,0,9019,0,38,not VIP
109,1,0,0,879,0,168,46,0,22,not VIP
27,0,298,1,173,0,0,99,1,8,not VIP
102,1,0,0,103,0,0,1,0,5,not VIP
144,0,458,1,4164,2,0,392,1,31,not VIP
168,0,122,0,1127,0,0,308,0,56,not VIP
206,1,0,0,332,0,0,4,1,7,not VIP
7,0,0,0,19,0,0,160,0,1,not VIP
67,0,0,0,176,0,0,196,0,33,not VIP
399,1,694,1,35503,5,0,2086,4,52,not VIP
369,0,417,2,5071,3,371,762,0,51,not VIP
110,0,0,0,346,0,0,170,0,49,not VIP
131,1,0,0,3761,1,4,183,1,25,not VIP
10,0,0,0,15,0,0,16,0,1,not VIP
201,1,0,0,3562,2,0,416,0,9,not VIP
685,4,0,0,1693,1,0,201,0,43,not VIP
196,1,0,0,1051,1,0,1338,0,14,not VIP
14,0,0,0,65,0,0,386,0,4,not VIP
196,1,0,0,1007,1,0,448,0,5,not VIP
77,0,228,1,217,0,0,115,0,12,not VIP
272,1,274,1,12794,3,316,819,1,13,not VIP
109,0,41,0,1154,0,69,1059,0,24,VIP
21,0,0,0,43,0,0,104,0,1,not VIP
72,0,131,1,512,0,146,3732,0,26,not VIP
442,2,1252,2,3766,2,73,93,1,9,not VIP
93,0,0,0,550,0,0,863,0,13,not VIP
299,0,36,0,2459,2,0,5975,0,49,not VIP
357,2,974,2,1436,1,0,52,1,28,not VIP
70,0,0,0,1305,1,0,4197,0,18,not VIP
421,2,0,0,3547,4,0,6636,2,23,not VIP
84,0,0,0,582,0,95,582,0,17,not VIP
290,0,0,0,8099,4,0,1325,0,53,not VIP
41,0,0,0,492,0,0,482,0,17,not VIP
110,1,0,0,193,0,0,3,0,3,not VIP
130,1,0,0,400,0,0,28,0,7,not VIP
28,0,0,0,148,0,0,1141,0,4,not VIP
1171,2,136,1,4300,3,0,285,2,173,not VIP
170,0,0,0,2194,2,0,5475,0,16,not VIP
138,0,118,0,780,0,0,6853,0,52,not VIP
111,0,41,0,4343,3,0,919,0,15,not VIP
158,0,319,2,931,1,0,577,0,20,not VIP
165,1,0,0,704,1,0,174,0,3,not VIP
140,0,692,1,8282,3,791,179,2,24,not VIP
66,0,98,0,465,0,0,6310,0,26,not VIP
290,1,255,1,2648,2,0,16309,0,35,not VIP
12,0,0,0,109,0,0,525,0,2,not VIP
250,1,0,0,2048,1,0,233,0,14,not VIP
227,1,0,0,944,1,0,1170,0,5,not VIP
575,2,356,1,13271,7,51,9602,2,65,not VIP
28,0,0,0,47,0,0,55,0,12,not VIP
14,0,233,1,7689,5,180,1261,2,53,not VIP
43,0,0,0,259,0,0,694,0,8,not VIP
99,0,0,0,629,1,0,1826,0,8,not VIP
35,0,27,0,85,0,0,599,0,11,not VIP
92,0,83,0,451,0,0,1166,0,23,not VIP
6756,6,2911,5,162198,11,3032,2771,10,86,VIP
85,0,0,0,368,0,0,37,0,4,not VIP
20,0,26,0,116,0,0,62,0,4,not VIP
150,1,0,0,1223,1,0,614,0,1,not VIP
141,0,0,0,710,0,0,577,0,23,not VIP
314,0,973,5,8056,3,0,239,1,35,not VIP
197,1,184,1,463,0,0,303,0,3,not VIP
26,0,65,0,596,0,0,768,0,28,not VIP
21,0,88,0,235,0,91,86,0,14,not VIP
41,0,0,0,41,0,0,9,0,4,not VIP
27,0,0,0,69,0,0,567,0,6,not VIP
299,0,395,2,2383,1,0,3894,0,55,not VIP
475,2,210,1,5050,3,6,6255,3,12,not VIP
194,1,246,1,705,0,385,260,0,45,not VIP
92,0,0,0,191,0,0,89,0,29,not VIP
107,0,29,0,2053,1,0,324,0,14,not VIP
300,0,136,0,2872,1,0,1534,0,103,not VIP
261,0,68,0,5128,4,0,6571,0,67,not VIP
145,0,0,0,406,0,0,101,0,17,not VIP
60,0,0,0,291,0,0,135,0,22,not VIP
14,0,0,0,18,0,0,6,0,9,not VIP
42,0,0,0,212,0,1,318,0,45,not VIP
366,2,0,0,2274,2,0,7656,0,38,VIP
271,2,272,1,2711,2,0,5897,0,28,not VIP
14,0,0,0,15,0,0,5,0,4,not VIP
26,0,0,0,60,0,0,14,0,1,not VIP
21,0,0,0,130,0,0,128,0,2,not VIP
687,5,418,2,10100,6,134,1070,0,112,not VIP
69,0,94,0,69,0,0,1,0,6,not VIP
1210,7,276,1,32896,8,211,2362,3,58,not VIP
126,0,205,1,11449,2,80,3360,2,52,not VIP
97,0,0,0,574,1,0,45,0,2,not VIP
326,0,0,0,5249,4,1,1681,0,24,VIP
211,0,0,0,528,0,0,276,0,20,not VIP
204,1,0,0,375,0,0,162,1,2,not VIP
439,1,68,0,3866,3,0,500,1,22,not VIP
163,0,0,0,583,0,0,848,0,25,not VIP
15808,5,9538,2,247203,5,4757,1571,5,51,VIP
74,0,0,0,2887,1,0,267,0,12,not VIP
99,0,0,0,429,0,0,33,0,15,not VIP
126,1,0,0,513,1,0,26,0,3,VIP
112,0,0,0,2048,1,0,542,0,52,not VIP
68,0,0,0,368,0,0,912,0,6,not VIP
123,0,0,0,449,0,0,164,0,46,not VIP
274,1,191,1,2194,2,0,5277,0,30,not VIP
149,0,27,0,669,0,0,1393,0,71,not VIP
159,0,27,0,1251,0,0,690,0,84,not VIP
129,0,342,1,1498,1,0,1412,1,11,not VIP
341,1,803,1,6726,4,2027,4479,0,33,VIP
646,3,81,0,4184,3,0,781,0,47,VIP
55,0,0,0,187,0,0,32,0,6,not VIP
27,0,0,0,93,0,0,411,0,2,not VIP
136,1,687,1,1255,1,0,3352,2,10,not VIP
95,0,151,1,700,0,0,2779,0,69,not VIP
109,0,0,0,180,0,0,195,0,85,not VIP
143,0,585,5,2965,2,0,437,0,62,not VIP
989,3,471,1,4234,2,11,8139,0,42,not VIP
14,0,0,0,23,0,0,57,0,6,not VIP
54,0,0,0,1392,1,0,3781,0,11,not VIP
14,0,0,0,196,0,0,974,0,1,not VIP
102,1,0,0,103,0,0,1,0,5,not VIP
144,0,0,0,507,0,0,770,0,35,not VIP
204,1,687,1,21964,4,1239,2494,2,30,not VIP
102,1,0,0,803,1,0,168,0,2,not VIP
129,1,0,0,129,0,0,2,0,2,not VIP
23,0,137,1,1091,1,0,1227,0,17,not VIP
101,0,61,0,5771,3,11,5417,0,119,not VIP
313,0,0,0,3745,4,0,3287,0,102,not VIP
2329,10,2939,8,26189,11,0,2185,4,104,VIP
85,0,0,0,312,0,0,182,0,62,not VIP
273,2,0,0,273,0,0,9,0,17,not VIP
129,1,0,0,1338,1,0,451,0,30,not VIP
304,1,34,0,635,0,0,57,0,9,not VIP
178,0,82,0,5777,5,0,1815,0,85,not VIP
41,0,14,0,245,0,0,133,0,9,not VIP
246,0,0,0,1805,0,0,9323,0,65,not VIP
143,0,0,0,536,0,0,270,0,44,not VIP
227,1,0,0,656,0,4,70,0,33,not VIP
89,0,0,0,1801,1,0,10467,0,20,not VIP
49,0,0,0,268,0,0,54,0,2,not VIP
27,0,0,0,43,0,0,3,0,3,not VIP
103,1,0,0,103,0,0,1,0,2,not VIP
100,0,0,0,263,0,0,303,0,33,not VIP
472,3,0,0,5572,3,0,5202,1,12,not VIP
137,0,0,0,539,0,0,684,0,4,not VIP
369,1,0,0,1892,1,0,137,1,46,not VIP
23,0,0,0,153,0,0,30,0,6,not VIP
151,1,0,0,600,1,0,152,0,11,not VIP
82,0,0,0,593,0,0,279,0,107,not VIP
543,2,1407,2,1062,1,873,48,1,19,not VIP
40,0,0,0,78,0,0,60,0,17,not VIP
103,1,0,0,103,0,0,1,0,3,not VIP
163,0,0,0,936,0,0,423,0,86,not VIP
1675,4,1855,3,48077,9,0,1988,4,142,not VIP
140,0,0,0,978,1,85,1718,0,37,not VIP
41,0,0,0,191,0,0,1056,0,11,not VIP
537,1,295,2,2644,1,0,667,0,113,not VIP
21,0,137,1,1094,2,172,228,0,13,not VIP
185,1,0,0,1461,1,0,787,0,21,not VIP
275,1,0,0,1110,1,0,10,1,3,not VIP
150,0,546,1,5776,2,0,205,1,50,not VIP
43,0,13,0,217,0,7,236,0,25,not VIP
137,1,0,0,1170,1,0,593,0,10,not VIP
56,0,0,0,251,0,0,282,0,15,not VIP
151,0,144,1,327,0,0,223,0,15,not VIP
143,0,0,0,3202,1,0,2520,0,52,not VIP
27,0,0,0,94,0,0,741,0,1,not VIP
188,0,61,0,1181,0,0,4564,0,23,not VIP
184,0,0,0,1160,0,90,874,0,325,not VIP
109,1,479,1,122,0,291,49,0,4,not VIP
137,1,0,0,158,0,0,10,0,3,not VIP
52,0,0,0,284,0,0,508,0,12,not VIP
175,1,0,0,544,0,0,898,0,9,not VIP
122,0,137,1,1271,2,0,190,0,7,not VIP
180,0,0,0,2088,1,4,441,0,88,not VIP
100,0,0,0,833,1,0,121,0,11,not VIP
61,0,0,0,486,0,0,498,0,17,not VIP
29,0,0,0,149,0,0,167,0,2,not VIP
205,1,0,0,6554,3,0,4157,1,20,not VIP
137,0,0,0,1505,1,14,654,0,46,not VIP
103,1,0,0,676,0,0,18,1,10,not VIP
41,0,0,0,237,0,0,35,0,8,not VIP
10,0,0,0,17,0,1,40,0,202,not VIP
123,0,7,0,471,0,6,223,0,101,not VIP
103,1,0,0,103,0,0,1,0,3,not VIP
218,0,397,2,5883,4,0,14392,2,60,not VIP
247,0,68,0,1412,0,0,179,0,40,not VIP
14,0,0,0,30,0,0,111,0,1,not VIP
597,3,0,0,41693,5,0,1851,1,42,not VIP
109,1,0,0,109,0,0,1,0,2,not VIP
41,0,0,0,586,0,0,7091,0,19,VIP
645,3,0,0,10363,1,0,240,2,15,not VIP
27,0,0,0,65,0,0,49,0,2,not VIP
39,0,0,0,90,0,0,38,0,28,not VIP
94,0,0,0,346,0,0,171,0,42,not VIP
116,0,0,0,229,0,0,48,0,11,not VIP
275,1,423,1,1695,0,0,380,0,81,not VIP
23,0,0,0,32,0,0,2,0,0,not VIP
102,0,82,0,293,0,106,63,0,25,not VIP
27,0,0,0,522,1,0,137,0,5,not VIP
41,0,0,0,652,1,0,195,0,13,not VIP
192,1,0,0,192,0,0,2,0,3,not VIP
148,0,620,2,3334,1,60,6206,2,23,not VIP
109,0,0,0,1126,1,0,407,0,44,not VIP
103,1,329,1,109,0,182,22,0,13,not VIP
137,1,0,0,421,0,0,19,0,1,not VIP
102,0,0,0,840,1,0,2367,0,26,not VIP
27,0,0,0,1158,1,185,516,0,10,not VIP
109,0,34,0,573,0,0,118,0,13,not VIP
41,0,0,0,3466,4,314,333,2,66,not VIP
14,0,0,0,14,0,0,5,0,2,not VIP
33,0,19,0,110,0,0,90,0,3,not VIP
157,0,236,0,1009,0,0,241,0,60,not VIP
319,1,171,1,824,0,0,25,1,11,not VIP
21,0,0,0,230,0,0,160,0,9,not VIP
115,0,0,0,348,0,0,232,0,61,not VIP
187,1,162,0,6667,4,261,893,2,40,not VIP
306,1,296,1,1015,1,40,1971,0,38,not VIP
125,0,0,0,180,0,0,74,0,41,not VIP
65,0,0,0,1933,2,0,681,0,23,not VIP
205,1,0,0,1107,1,0,53,1,9,not VIP
94,0,98,0,927,0,15,708,0,53,not VIP
120,0,62,0,257,0,0,143,0,37,not VIP
63,0,60,0,416,0,0,885,0,27,not VIP
682,2,0,1,21553,8,0,26564,2,44,not VIP
55,0,0,0,399,0,0,1303,0,25,not VIP
27,0,0,0,56,0,0,185,0,7,not VIP
135,0,0,0,809,1,0,1664,0,3,not VIP
55,0,0,0,394,0,0,215,0,51,not VIP
636,2,545,2,8595,4,0,9178,3,37,not VIP
40,0,0,0,164,0,0,127,0,12,not VIP
113,0,0,0,1587,1,0,146,0,24,not VIP
322,1,0,0,3211,1,0,2831,1,18,not VIP
267,0,287,1,1363,0,21,599,0,63,not VIP
254,1,0,0,2280,1,0,686,0,45,not VIP
75,0,0,1,1385,2,0,253,0,29,not VIP
111,1,0,0,672,1,0,24,0,1,not VIP
182,0,0,0,1143,1,0,1586,0,54,not VIP
206,1,548,1,2300,1,0,45,2,35,not VIP
226,1,542,1,1317,1,542,69,0,10,not VIP
182,0,0,0,1420,1,0,9445,0,66,not VIP
548,1,0,0,2092,1,0,32,1,3,not VIP
123,1,0,0,123,0,0,1,0,1,not VIP
41,0,0,0,236,0,0,1118,0,3,not VIP
1142,2,48,0,11058,6,0,1748,2,49,VIP
21,0,0,0,77,0,0,24,0,7,not VIP
108,0,1440,4,2046,1,17,324,1,9,not VIP
134,0,53,0,629,0,0,246,0,44,not VIP
271,1,137,1,3051,1,0,125,0,28,not VIP
114,1,0,0,159,0,0,39,0,1,not VIP
50,0,0,0,616,0,0,3607,0,11,not VIP
32,0,0,0,204,0,0,1364,0,9,not VIP
150,1,0,0,459,0,0,622,0,8,not VIP
21,0,0,0,56,0,0,400,0,5,not VIP
660,3,0,0,7933,3,0,338,1,32,not VIP
114,0,108,0,1926,2,0,1463,0,16,not VIP
461,1,4,1,2672,2,3,150,1,23,not VIP
68,0,808,3,578,0,994,1226,0,63,VIP
326,1,0,0,2539,1,134,2872,1,19,not VIP
246,1,0,0,1773,1,0,3222,1,11,not VIP
34,0,0,0,699,0,0,4580,0,14,not VIP
320,0,0,0,892,0,0,221,0,29,not VIP
99,0,329,1,1805,2,0,6015,1,48,not VIP
601,2,0,0,2353,0,0,1358,0,78,not VIP
1081,1,0,0,1985,1,0,5,1,5,not VIP
131,0,0,0,333,0,0,218,0,5,not VIP
68,0,0,0,109,0,0,113,0,1,not VIP
46,0,0,0,266,0,0,1418,0,109,not VIP
274,1,0,0,2301,2,0,4686,0,13,not VIP
799,3,0,0,2703,2,1,501,1,94,not VIP
272,0,149,1,1000,0,0,106,0,30,not VIP
81,0,1,0,1621,2,0,78,0,15,not VIP
115,1,0,0,224,0,0,644,0,2,not VIP
109,1,271,1,468,0,254,39,0,2,not VIP
115,1,0,0,332,0,17,21,0,42,not VIP
453,1,0,0,1142,1,0,3100,1,18,not VIP
149,1,0,0,240,0,0,524,0,7,not VIP
114,0,340,1,4006,1,693,9605,1,28,not VIP
156,0,59,0,1258,1,0,332,0,28,not VIP
118,0,142,1,1561,0,0,18341,0,51,not VIP
121,0,0,0,496,0,0,52,0,5,not VIP
14,0,0,0,36,0,0,67,0,15,not VIP
101,1,525,1,403,0,280,22,0,12,not VIP
68,0,0,0,783,1,0,2615,0,4,not VIP
106,0,0,0,763,0,9,319,0,58,not VIP
596,1,0,0,4902,4,0,2407,0,73,not VIP
200,0,48,0,5349,4,0,7623,0,72,not VIP
26,0,79,0,1848,1,145,504,0,21,not VIP
81,0,0,0,527,0,0,718,0,26,not VIP
14,0,139,1,1126,0,84,5736,0,49,not VIP
101,1,0,0,101,0,0,1,0,4,not VIP
41,0,0,0,47,0,0,17,0,11,not VIP
101,1,0,0,165,0,0,12,0,6,not VIP
101,1,275,1,245,0,0,8,0,10,not VIP
684,2,0,0,6131,2,0,3039,1,17,not VIP
232,0,0,0,2897,2,27,11370,0,71,VIP
142,1,0,0,394,0,0,52,0,33,not VIP
155,0,0,0,1104,1,1,630,0,23,not VIP
124,1,0,0,302,0,0,17,0,3,not VIP
18,0,0,0,0,0,0,1,0,4,not VIP
93,0,0,0,1705,1,0,2298,0,26,not VIP
132,0,53,0,576,0,7,5120,0,53,not VIP
20,0,0,0,45,0,0,165,0,1,not VIP
154,0,26,0,999,0,30,4218,0,83,not VIP
189,0,0,0,2299,1,0,5772,0,16,not VIP
171,1,75,0,3928,1,456,67,1,21,not VIP
601,1,0,0,20612,8,333,3016,0,102,VIP
778,3,0,0,13304,3,0,5455,1,51,VIP
204,1,150,1,3153,2,0,152,2,19,not VIP
101,1,0,0,101,0,0,1,0,4,not VIP
210,0,0,0,1402,0,0,11746,0,41,not VIP
240,0,136,1,1304,1,0,5192,0,41,not VIP
46,0,0,0,436,0,0,4422,0,9,not VIP
237,0,169,0,3043,3,0,622,0,25,not VIP
101,1,0,0,101,0,0,1,0,3,not VIP
381,2,0,0,1216,1,0,362,1,12,not VIP
138,0,0,0,375,0,0,229,0,16,not VIP
108,0,0,0,470,0,0,807,0,7,not VIP
682,3,0,0,2472,1,16,4644,1,55,not VIP
101,1,0,0,318,0,0,56,0,6,not VIP
239,1,298,1,8272,5,0,1763,1,59,not VIP
68,0,54,0,221,0,0,71,0,5,not VIP
40,0,0,0,90,0,2,84,0,105,not VIP
86,0,0,0,174,0,0,26,0,18,not VIP
20,0,0,0,221,0,0,101,0,5,not VIP
371,1,0,0,4368,1,0,154,1,11,not VIP
230,1,0,0,879,0,2,202,0,54,not VIP
3240,4,961,1,11276,5,0,243,5,244,VIP
27,0,47,0,366,0,1,1336,0,12,not VIP
63,0,0,0,129,0,0,257,0,5,not VIP
242,0,523,1,6002,4,242,23581,1,91,not VIP
101,1,1405,3,474,0,1229,36,0,11,not VIP
127,0,0,0,1520,0,0,15652,0,60,not VIP
173,0,0,0,1911,1,0,184,0,8,not VIP
442,3,0,0,9167,2,0,208,0,17,not VIP
13,0,0,0,27,0,0,12,0,4,not VIP
68,0,0,0,144,0,1,11,0,19,not VIP
98,0,40,0,913,1,0,10257,0,35,not VIP
335,2,0,0,2059,1,0,2771,0,8,not VIP
27,0,0,0,49,0,3,238,0,57,not VIP
205,1,532,1,1507,2,156,54,2,5,not VIP
405,2,687,2,16593,4,1073,1183,3,44,not VIP
151,0,0,0,661,0,0,342,0,42,not VIP
20,0,0,0,34,0,0,182,0,3,not VIP
101,1,244,1,105,0,175,35,0,10,not VIP
122,0,0,0,497,0,0,145,0,23,VIP
4,0,0,0,52,0,0,4109,0,38,not VIP
138,1,0,0,732,0,0,169,1,15,not VIP
543,1,127,0,2184,0,0,402,0,115,not VIP
20,0,0,0,98,0,0,1500,0,4,not VIP
493,1,525,2,5504,5,0,255,0,63,not VIP
37,0,0,0,318,0,0,275,0,19,not VIP
338,2,0,0,913,0,0,96,0,16,not VIP
101,1,0,0,285,0,0,4,0,3,not VIP
106,0,0,0,2045,1,845,98,1,5,not VIP
189,1,0,0,383,0,0,73,0,28,not VIP
27,0,26,0,1257,1,1,573,0,21,not VIP
108,1,679,1,515,0,0,4,1,14,not VIP
27,0,27,0,434,0,0,288,0,9,not VIP
21,0,0,0,55,0,0,51,0,12,not VIP
34,0,0,0,39,0,0,21,0,21,not VIP
72,0,0,0,1726,1,0,1320,0,50,not VIP
67,0,0,0,139,0,0,505,0,4,not VIP
27,0,0,0,42,0,0,32,0,8,not VIP
549,2,0,0,928,0,0,101,0,26,not VIP
102,1,0,0,136,0,9,6,0,13,not VIP
41,0,0,0,93,0,0,14,0,1,not VIP
191,0,236,0,3571,3,0,2560,0,89,not VIP
360,1,26,1,752,0,0,1169,0,38,not VIP
115,0,0,0,355,0,0,768,0,5,not VIP
163,1,0,0,1928,1,0,1457,0,8,not VIP
25,0,0,0,92,0,0,15,0,1,not VIP
101,0,0,0,217,0,0,1089,0,15,not VIP
68,0,149,1,484,0,0,73,0,10,not VIP
445,2,918,2,4640,3,0,574,2,69,not VIP
364,1,0,0,1713,1,0,1617,1,10,not VIP
119,0,0,0,1161,1,0,64,0,15,not VIP
169,1,0,0,1057,1,0,90,0,6,not VIP
827,1,0,0,4910,1,0,155,1,17,not VIP
430,2,0,0,4947,1,0,726,1,9,not VIP
38,0,0,0,38,0,0,7,0,6,not VIP
27,0,0,0,151,0,0,74,0,16,not VIP
134,0,0,0,301,0,0,74,0,27,not VIP
118,0,85,0,601,0,0,1209,0,9,not VIP
213,0,184,1,969,0,0,6381,0,41,not VIP
138,0,0,0,318,0,0,93,0,14,not VIP
72,0,0,0,242,0,0,110,0,6,not VIP
421,0,462,1,2528,1,14,145,0,42,not VIP
1186,3,402,2,3445,3,0,70,1,108,not VIP
136,1,0,0,149,0,27,4,0,6,not VIP
662,4,610,2,9215,6,0,23903,1,44,not VIP
171,1,0,0,185,0,0,8,0,2,not VIP
171,1,0,1,2221,1,158,47,1,5,not VIP
136,1,0,0,407,0,27,7,0,7,not VIP
414,2,618,4,1008,0,0,544,0,123,not VIP
41,0,81,0,427,0,0,551,0,8,not VIP
718,2,0,0,5279,2,0,295,2,44,not VIP
125,0,196,1,2518,2,0,1981,0,24,not VIP
1059,5,525,1,86795,5,0,596,2,25,not VIP
140,0,0,0,442,0,0,1504,0,6,not VIP
5144,5,3209,4,52514,7,13,1055,7,103,VIP
126,0,0,0,353,0,1,1878,0,115,not VIP
271,0,54,0,2678,1,0,247,0,37,not VIP
14,0,0,0,140,0,0,17,0,10,not VIP
203,1,0,0,1294,2,11,581,0,19,not VIP
108,1,0,0,4546,1,0,955,0,7,not VIP
345,1,202,0,2120,1,0,7298,0,80,not VIP
175,0,54,0,840,1,0,3096,0,18,not VIP
1702,4,0,0,19800,6,1201,252,4,34,VIP
102,1,0,0,265,0,25,116,0,27,not VIP
108,0,34,0,386,0,0,2120,0,11,not VIP
131,1,341,1,2909,2,0,1979,1,18,not VIP
20,0,0,0,101,0,0,532,0,2,not VIP
201,0,249,1,4236,3,172,142,0,42,not VIP
135,1,373,1,230,0,0,4,0,11,not VIP
54,0,1936,3,1762,1,2803,618,0,50,not VIP
39,0,0,0,214,0,0,100,0,15,not VIP
3313,8,3351,3,24288,9,753,29497,9,100,VIP
175,0,0,0,652,0,2,336,0,164,not VIP
203,1,0,0,1303,1,0,90,1,6,not VIP
125,0,289,1,1056,0,0,2720,1,28,not VIP
336,1,0,0,1820,2,0,128,1,8,not VIP
92,0,406,1,1149,1,0,976,1,8,not VIP
62,0,0,0,472,0,0,1232,0,7,not VIP
161,0,113,0,639,0,0,192,0,66,not VIP
156,1,34,0,933,1,0,69,0,9,not VIP
47,0,244,1,318,0,307,1089,0,27,not VIP
81,0,0,0,347,0,0,212,0,4,not VIP
57,0,0,0,187,0,0,54,0,9,not VIP
135,1,0,1,513,1,3,414,0,12,not VIP
288,0,0,0,1420,0,0,6008,0,23,not VIP
176,1,0,0,607,1,0,403,0,10,not VIP
798,3,310,1,10008,5,612,634,2,44,not VIP
135,1,0,0,787,1,0,890,0,5,not VIP
291,1,416,1,3245,3,285,300,0,16,not VIP
27,0,0,0,302,0,93,2009,0,3,not VIP
665,3,288,2,5692,4,0,17398,1,61,not VIP
57,0,0,0,95,0,0,53,0,7,not VIP
95,0,0,0,303,0,6,22,0,13,not VIP
489,2,183,1,11016,2,169,1460,1,47,not VIP
359,2,135,1,2085,2,0,477,0,34,not VIP
108,1,0,0,542,1,0,19,0,4,not VIP
